"ID","Title","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C1","Проверка работоспособности чекбокса принятия условий.","dfddsf dffd","8/30/2024 1:40 PM","","","High","","Test Cases","0","","Master","S1","Other","dfddsf dffd","8/30/2024 1:46 PM"
"C2","Проверка списка тематики обращения","dfddsf dffd","8/30/2024 1:40 PM","","","High","","Test Cases","0","","Master","S1","Other","dfddsf dffd","8/30/2024 1:45 PM"
"C3","Проверка поля """"Имя""""","dfddsf dffd","8/30/2024 1:40 PM","","","High","","Test Cases","0","","Master","S1","Other","dfddsf dffd","8/30/2024 1:47 PM"
"C4","Проверка поля """"email""""","dfddsf dffd","8/30/2024 1:41 PM","","","High","","Test Cases","0","","Master","S1","Other","dfddsf dffd","8/30/2024 1:48 PM"
"C5","Проверка поля ввода номера телефона","dfddsf dffd","8/30/2024 1:41 PM","","","Medium","","Test Cases","0","","Master","S1","Other","dfddsf dffd","8/30/2024 1:49 PM"
"C6","Проверка выбора страны """"Молдова"""" в списке номеров телефона.","dfddsf dffd","8/30/2024 1:41 PM","","","Medium","","Test Cases","0","","Master","S1","Other","dfddsf dffd","8/30/2024 1:51 PM"
"C7","Проверка выбора страны """"Украина"""" в списке стран при выбранной стране """"Молдова"""".","dfddsf dffd","8/30/2024 1:41 PM","","","Medium","","Test Cases","0","","Master","S1","Other","dfddsf dffd","8/30/2024 1:53 PM"
"C8","Проверка открытия формы прикрепления документа.","dfddsf dffd","8/30/2024 1:41 PM","","","High","","Test Cases","0","","Master","S1","Other","dfddsf dffd","8/30/2024 1:55 PM"
"C9","Проверка поля """"комменарий""""","dfddsf dffd","8/30/2024 1:41 PM","","","Medium","","Test Cases","0","","Master","S1","Other","dfddsf dffd","8/30/2024 1:56 PM"
"C10","Проверка поведения кнопки """"Отправить"""" при наведении.","dfddsf dffd","8/30/2024 1:41 PM","","","High","","Test Cases","0","","Master","S1","Other","dfddsf dffd","8/30/2024 1:58 PM"
"C11","Проверка ввода букв в поле ввода номера телефона (negative).","dfddsf dffd","8/30/2024 1:41 PM","","","High","","Test Cases","0","","Master","S1","Other","dfddsf dffd","8/30/2024 2:00 PM"
"C12","Проверка ввода символов в поле ввода имени (negative).","dfddsf dffd","8/30/2024 1:41 PM","","","High","","Test Cases","0","","Master","S1","Other","dfddsf dffd","8/30/2024 2:03 PM"
"C13","Проверка ввода символов в поле ввода """"email"""" (negative).","dfddsf dffd","8/30/2024 1:41 PM","","","High","","Test Cases","0","","Master","S1","Other","dfddsf dffd","8/30/2024 2:10 PM"
"C14","Проверка загрузки исполняемого файла вместо текста (negative).","dfddsf dffd","8/30/2024 1:41 PM","","","High","","Test Cases","0","","Master","S1","Other","dfddsf dffd","8/30/2024 2:10 PM"
"C15","Проверка отправки незаполненной формы обратной связи с не нажатым чекбоксом """"принять политику"""" (negative).","dfddsf dffd","8/30/2024 1:41 PM","","","High","","Test Cases","0","","Master","S1","Other","dfddsf dffd","8/30/2024 2:10 PM"
